freq,src_crf,unit,geo\TIME_PERIOD	2021 	2022 	2023 
A,TOTX4_MEMO,T_HAB,AT	8.7 	8.1 	7.5 
A,TOTX4_MEMO,T_HAB,BE	9.5 	8.8 	8.3 
A,TOTX4_MEMO,T_HAB,BG	8.3 	9.0 	7.0 
A,TOTX4_MEMO,T_HAB,CY	9.1 	9.0 	8.9 
A,TOTX4_MEMO,T_HAB,CZ	11.2 	10.8 	9.4 
A,TOTX4_MEMO,T_HAB,DE	9.2 	9.0 	8.1 
A,TOTX4_MEMO,T_HAB,DK	7.6 	7.2 	6.6 
A,TOTX4_MEMO,T_HAB,EE	9.4 	10.5 	7.9 
A,TOTX4_MEMO,T_HAB,EL	7.4 	7.5 	6.9 
A,TOTX4_MEMO,T_HAB,ES	6.1 	6.1 	5.6 
A,TOTX4_MEMO,T_HAB,FI	8.6 	8.2 	7.4 
A,TOTX4_MEMO,T_HAB,FR	6.2 	5.9 	5.5 
A,TOTX4_MEMO,T_HAB,HR	6.3 	6.4 	6.6 
A,TOTX4_MEMO,T_HAB,HU	6.6 	6.2 	5.7 
A,TOTX4_MEMO,T_HAB,IE	11.8 	11.3 	10.3 
A,TOTX4_MEMO,T_HAB,IS	12.7 	12.5 	12.0 
A,TOTX4_MEMO,T_HAB,IT	7.0 	7.0 	6.5 
A,TOTX4_MEMO,T_HAB,LT	7.0 	6.5 	6.2 
A,TOTX4_MEMO,T_HAB,LU	14.7 	12.6 	11.7 
A,TOTX4_MEMO,T_HAB,LV	5.7 	5.4 	5.3 
A,TOTX4_MEMO,T_HAB,MT	4.1 	4.3 	4.1 
A,TOTX4_MEMO,T_HAB,NL	9.5 	8.7 	8.0 
A,TOTX4_MEMO,T_HAB,NO	9.1 	9.0 	8.5 
A,TOTX4_MEMO,T_HAB,PL	10.8 	10.3 	9.5 
A,TOTX4_MEMO,T_HAB,PT	5.4 	5.4 	5.0 
A,TOTX4_MEMO,T_HAB,RO	6.0 	5.8 	5.4 
A,TOTX4_MEMO,T_HAB,SE	4.6 	4.2 	4.2 
A,TOTX4_MEMO,T_HAB,SI	7.6 	7.4 	7.0 
A,TOTX4_MEMO,T_HAB,SK	7.5 	6.8 	6.7 

