freq,sex,age,unit,isced11,geo\TIME_PERIOD	2019 	2020 	2021 	2022 	2023 	2024 
A,T,Y15-64,PC,ED5-8,AT	31.1 	31.3 	31.8 	32.5 	33.6 	34.4 
A,T,Y15-64,PC,ED5-8,BE	36.0 	37.6 	39.7 	40.2 	39.1 	38.8 
A,T,Y15-64,PC,ED5-8,BG	24.7 	25.8 	26.1 	26.3 	26.7 	29.4 
A,T,Y15-64,PC,ED5-8,CY	40.5 	41.0 	42.8 	44.0 	46.0 	46.3 
A,T,Y15-64,PC,ED5-8,CZ	21.6 	22.1 	23.4	23.5 	23.5 	23.8 
A,T,Y15-64,PC,ED5-8,DE	26.0 	27.2 	28.1 	28.0 	28.7 	29.8 
A,T,Y15-64,PC,ED5-8,DK	33.4 	33.7 	34.8 	35.0 	35.5 	37.3 
A,T,Y15-64,PC,ED5-8,EE	34.7 	35.2 	36.0 	36.7 	36.0 	36.0 
A,T,Y15-64,PC,ED5-8,EL	27.8 	28.5 	30.1 	30.5 	29.9 	30.4 
A,T,Y15-64,PC,ED5-8,ES	35.1 	36.0 	36.2 	36.5 	37.1 	37.5 
A,T,Y15-64,PC,ED5-8,FI	38.5 	39.8 	35.5 	35.9 	35.7 	35.7 
A,T,Y15-64,PC,ED5-8,FR	33.8 	35.3 	36.3 	36.9 	37.6 	38.4 
A,T,Y15-64,PC,ED5-8,HR	22.1 	22.3 	22.3 	22.8 	24.9 	26.6 
A,T,Y15-64,PC,ED5-8,HU	22.5 	23.6 	25.5 	25.6 	25.8 	27.0 
A,T,Y15-64,PC,ED5-8,IE	40.7 	42.8 	45.4 	46.1 	46.6 	48.3 
A,T,Y15-64,PC,ED5-8,IT	17.5 	17.8 	17.8 	18.1 	19.2 	19.7 
A,T,Y15-64,PC,ED5-8,LT	37.9 	38.7 	39.8 	41.3 	41.0 	41.7 
A,T,Y15-64,PC,ED5-8,LU	41.0 	40.9 	44.5 	46.0 	45.7 	48.2 
A,T,Y15-64,PC,ED5-8,LV	31.4 	33.2 	34.2 	34.5 	34.0 	34.7 
A,T,Y15-64,PC,ED5-8,MT	27.0 	28.2 	29.6 	29.4 	30.8 	33.3 
A,T,Y15-64,PC,ED5-8,NL	34.8 	36.6 	37.5 	38.8 	38.4 	38.7 
A,T,Y15-64,PC,ED5-8,PL	28.6 	29.3 	29.4 	30.0 	33.2 	34.3 
A,T,Y15-64,PC,ED5-8,PT	23.9 	24.8 	26.2 	26.8 	27.1 	28.6 
A,T,Y15-64,PC,ED5-8,RO	16.0 	16.2 	16.4 	17.1 	16.1 	16.5 
A,T,Y15-64,PC,ED5-8,SE	37.8 	38.3 	39.6 	41.1 	41.9 	42.8 
A,T,Y15-64,PC,ED5-8,SI	29.3 	31.5 	35.4 	35.1 	29.8 	30.5 
A,T,Y15-64,PC,ED5-8,SK	23.1 	23.9 	24.7 	26.0 	25.8 	25.7 
